路径,名字,内容和功能,函数,函数的功能,函数的用途
src/biomodals/app/config.py,config.py,定义 Biomodals app 的通用配置模型 AppConfig。集中管理 app 元信息、GPU/CUDA、timeout、模型目录、输出目录和默认环境变量。通过 Pydantic 校验配置是否满足可复现和运行约束。,AppConfig.get_out_volume(),获取或创建当前 app 的输出 Modal Volume，Volume 名称形如 <AppName>-outputs。,在需要持久化或后续下载结果的 app 中，为远程输出挂载 app 专属 Modal Volume。
src/biomodals/app/config.py,config.py,定义 Biomodals app 的通用配置模型 AppConfig。集中管理 app 元信息、GPU/CUDA、timeout、模型目录、输出目录和默认环境变量。通过 Pydantic 校验配置是否满足可复现和运行约束。,AppConfig.default_env,生成运行镜像默认环境变量，包括 Hugging Face、PyTorch 和 uv/PyTorch CUDA 后端相关配置。,构建 Modal Image 时通过 .env(CONF.default_env) 统一设置缓存目录和安装后端。
src/biomodals/app/config.py,config.py,定义 Biomodals app 的通用配置模型 AppConfig。集中管理 app 元信息、GPU/CUDA、timeout、模型目录、输出目录和默认环境变量。通过 Pydantic 校验配置是否满足可复现和运行约束。,AppConfig.model_dir,生成当前 app 在共享模型 Volume 中的模型缓存目录。,保存或读取当前工具的模型权重、checkpoint 和缓存文件。
src/biomodals/app/config.py,config.py,定义 Biomodals app 的通用配置模型 AppConfig。集中管理 app 元信息、GPU/CUDA、timeout、模型目录、输出目录和默认环境变量。通过 Pydantic 校验配置是否满足可复现和运行约束。,AppConfig.git_clone_dir,生成当前 app 在容器中的源码 clone 目录，默认位于 /opt/<AppName>。,构建镜像时 clone 上游工具源码，并作为后续安装或运行命令的工作目录。
src/biomodals/app/config.py,config.py,定义 Biomodals app 的通用配置模型 AppConfig。集中管理 app 元信息、GPU/CUDA、timeout、模型目录、输出目录和默认环境变量。通过 Pydantic 校验配置是否满足可复现和运行约束。,AppConfig.cuda_version_numeric,把 cu128、cu130 这类 CUDA 后端标识转换为 12.8.0、13.0.0 这类数字版本。,用于需要标准 CUDA 版本号的镜像标签、依赖安装或工具配置。
src/biomodals/app/config.py,config.py,定义 Biomodals app 的通用配置模型 AppConfig。集中管理 app 元信息、GPU/CUDA、timeout、模型目录、输出目录和默认环境变量。通过 Pydantic 校验配置是否满足可复现和运行约束。,AppConfig.ensure_package_info(),校验 repo_url/package_name 至少提供一个，并校验 repo_commit_hash/version 至少提供一个。,确保 app 配置有来源信息和可复现的版本固定信息。
src/biomodals/app/config.py,config.py,定义 Biomodals app 的通用配置模型 AppConfig。集中管理 app 元信息、GPU/CUDA、timeout、模型目录、输出目录和默认环境变量。通过 Pydantic 校验配置是否满足可复现和运行约束。,AppConfig.ensure_cuda_gpu_compatibility(),校验 CUDA 版本格式，并阻止 CUDA 12 与 B200+/B300 这类不兼容 GPU 组合。,在配置创建阶段提前发现 CUDA/GPU 不兼容问题，避免远程任务运行后才失败。
src/biomodals/app/config.py,config.py,定义 Biomodals app 的通用配置模型 AppConfig。集中管理 app 元信息、GPU/CUDA、timeout、模型目录、输出目录和默认环境变量。通过 Pydantic 校验配置是否满足可复现和运行约束。,AppConfig.ensure_timeout_within_range(),把 timeout 限制在 1 秒到 MAX_TIMEOUT 之间。,防止 app 设置无效或超过 Modal 最大允许范围的运行超时时间。
src/biomodals/app/constant.py,constant.py,定义多个 app 共享的 Modal Volume 和全局常量。主要用于模型缓存、MSA 数据库缓存、MSA 结果缓存和最大超时时间。它不定义函数，而是提供可直接导入的共享对象。,无函数（共享常量/Volume 对象）,该文件不定义函数，主要定义 MODEL_VOLUME、MSA_CACHE_VOLUME、MAX_TIMEOUT 等共享常量和 Modal Volume 对象。,供各个 app 导入后挂载共享模型缓存、MSA 数据库缓存、MSA 结果缓存，并复用 24 小时最大 timeout。
src/biomodals/app/helper/__init__.py,__init__.py,作为 biomodals.app.helper 包的公共入口。提供镜像补丁函数和字符串哈希函数。常被 app 文件直接通过 from biomodals.app.helper import ... 导入。,patch_image_for_helper(),给 Modal Image 安装 helper 需要的系统工具、Python 依赖，并加入本地 helper/config/constant 源码。,构建每个 app 的 runtime image 时调用，确保远程容器能使用 Biomodals helper 工具。
src/biomodals/app/helper/__init__.py,__init__.py,作为 biomodals.app.helper 包的公共入口。提供镜像补丁函数和字符串哈希函数。常被 app 文件直接通过 from biomodals.app.helper import ... 导入。,hash_string(),使用 SHA-256 把输入字符串转换成稳定的固定长度哈希值。,为序列、输入内容或任务参数生成缓存 key、目录名或稳定标识。
src/biomodals/app/helper/internal.py,internal.py,放置 helper 内部复用的小工具。当前主要提供函数计时装饰器。它服务其他 helper 文件，不是普通 app 代码的主要入口。,timed_function(),接收一个函数并返回包装后的函数，执行原函数时记录开始和结束时间并打印耗时。,给打包输出、批量复制等耗时 helper 函数添加简单运行时间日志。
src/biomodals/app/helper/shell.py,shell.py,提供运行外部 shell 命令和处理文件的通用工具。封装前台命令、后台命令、日志记录、文件查找、目录预热、输出打包、复制、软链接和文件名清理。主要服务 Modal 容器里的生信工具执行流程。,_build_env(),合并当前进程环境变量和调用者传入的额外环境变量，并默认加入 SYSTEMD_COLORS=1。,为 subprocess 启动的外部命令准备完整环境变量。
src/biomodals/app/helper/shell.py,shell.py,提供运行外部 shell 命令和处理文件的通用工具。封装前台命令、后台命令、日志记录、文件查找、目录预热、输出打包、复制、软链接和文件名清理。主要服务 Modal 容器里的生信工具执行流程。,run_background_command(),启动后台命令，默认丢弃 stdout/stderr，并立即返回 Popen 进程对象。,用于启动不需要当前代码等待完成的后台任务或辅助进程。
src/biomodals/app/helper/shell.py,shell.py,提供运行外部 shell 命令和处理文件的通用工具。封装前台命令、后台命令、日志记录、文件查找、目录预热、输出打包、复制、软链接和文件名清理。主要服务 Modal 容器里的生信工具执行流程。,run_command(),前台运行命令，实时读取 stdout，并把 stderr 合并到 stdout；命令失败时抛出 CalledProcessError。,用于需要等待完成、查看输出、失败即中止的外部命令执行。
src/biomodals/app/helper/shell.py,shell.py,提供运行外部 shell 命令和处理文件的通用工具。封装前台命令、后台命令、日志记录、文件查找、目录预热、输出打包、复制、软链接和文件名清理。主要服务 Modal 容器里的生信工具执行流程。,run_command_with_log(),前台运行命令，把输出、开始时间、结束时间和耗时写入 log 文件；可选同步打印到屏幕。,用于长时间运行的生信工具或推理命令，方便保存完整日志和排查失败原因。
src/biomodals/app/helper/shell.py,shell.py,提供运行外部 shell 命令和处理文件的通用工具。封装前台命令、后台命令、日志记录、文件查找、目录预热、输出打包、复制、软链接和文件名清理。主要服务 Modal 容器里的生信工具执行流程。,find_with_fd(),使用 fd 或 fdfind 在指定目录中查找匹配文件，并返回相对路径列表。,快速查找输出文件、输入文件或需要预热/处理的文件集合。
src/biomodals/app/helper/shell.py,shell.py,提供运行外部 shell 命令和处理文件的通用工具。封装前台命令、后台命令、日志记录、文件查找、目录预热、输出打包、复制、软链接和文件名清理。主要服务 Modal 容器里的生信工具执行流程。,warmup_directory(),用 fd 找到文件后调用 dd 读取到 /dev/null，从而预热目录中文件的磁盘或 Volume 缓存。,在正式推理前预读模型或数据库文件，降低后续首次读取延迟。
src/biomodals/app/helper/shell.py,shell.py,提供运行外部 shell 命令和处理文件的通用工具。封装前台命令、后台命令、日志记录、文件查找、目录预热、输出打包、复制、软链接和文件名清理。主要服务 Modal 容器里的生信工具执行流程。,package_outputs(),把输出目录或指定文件集合打包成 tar.zst 压缩字节流，并记录打包耗时。,远程 Modal 函数结束时把结果打包返回给本地入口保存。
src/biomodals/app/helper/shell.py,shell.py,提供运行外部 shell 命令和处理文件的通用工具。封装前台命令、后台命令、日志记录、文件查找、目录预热、输出打包、复制、软链接和文件名清理。主要服务 Modal 容器里的生信工具执行流程。,copy_files(),并发启动多个 cp -an 命令，把源文件复制到目标路径，并汇总复制失败信息。,把模型、数据库或中间文件从 Modal Volume 复制到本地 SSD 工作目录。
src/biomodals/app/helper/shell.py,shell.py,提供运行外部 shell 命令和处理文件的通用工具。封装前台命令、后台命令、日志记录、文件查找、目录预热、输出打包、复制、软链接和文件名清理。主要服务 Modal 容器里的生信工具执行流程。,softlink_dir(),如果目标路径不存在，则创建一个从目标路径指向源目录的软链接。,让外部工具访问它期望的固定目录，同时真实数据仍保存在 Biomodals 统一缓存目录中。
src/biomodals/app/helper/shell.py,shell.py,提供运行外部 shell 命令和处理文件的通用工具。封装前台命令、后台命令、日志记录、文件查找、目录预热、输出打包、复制、软链接和文件名清理。主要服务 Modal 容器里的生信工具执行流程。,sanitize_filename(),把包含路径分隔符或不安全路径片段的字符串压平成安全文件名。,根据用户输入生成输出文件名或 run_name 时，避免路径逃逸和意外写入其他目录。
src/biomodals/app/helper/structure.py,structure.py,提供结构文件处理工具。当前用于从 PDB 或 mmCIF 文件中提取每条链的序列。适合把结构输入转换为后续模型或缓存逻辑需要的序列信息。,struct2seq(),读取 PDB/mmCIF 结构文件，遍历第一模型中的 chain 和 residue，并转换为链 ID 与序列。,从结构输入中提取序列，用于缓存 key 生成、模型输入准备或结构相关下游流程。
